,Recall,pQ1,pQ2,pQ3,pQ4,pQ6,pQ7,pQ8,pQ9,pQ10,pQ11,pQ12,pQ14,pQ16,pQ17,pQ18,pQ20,pQ21,pQ22,pQ23,pQ25,pQ28,pQ29,pQ30,pQ31,pQ33,pQ34,pQ35,pQ36,pQ37,pQ39,pQ40,pQ41,pQ42,pQ43,pQ44,pQ45,pQ47,pQ48,pQ49,pQ50,pQ51,pQ52,pQ53,pQ54,pQ55,pQ56,pQ57,pQ59,pQ61,pQ62,pQ63,pQ64,pQ65,pQ66,pQ69,pQ70,pQ71,pQ72,pQ73,pQ75,pQ76,pQ78,pQ79,pQ80,pQ81,pQ82,pQ83,pQ84,pQ85,pQ86,pQ87,pQ88,pQ89,pQ90,pQ91,pQ95,pQ96,pQ97,pQ98,pQ100,pi
0,0,100.0,1.0416666666666665,6.666666666666667,66.66666666666666,100.0,20.0,2.479338842975207,100.0,60.0,50.0,2.564102564102564,6.8181818181818175,23.076923076923077,21.052631578947366,100.0,100.0,100.0,100.0,6.25,100.0,33.33333333333333,33.33333333333333,11.11111111111111,100.0,85.71428571428571,100.0,60.0,100.0,100.0,25.0,33.33333333333333,37.5,100.0,78.57142857142857,11.428571428571429,100.0,6.9364161849710975,33.33333333333333,100.0,100.0,25.949367088607595,0.0,100.0,13.750000000000002,0.0,33.33333333333333,62.5,66.66666666666666,100.0,50.0,100.0,50.0,100.0,19.230769230769234,100.0,2.564102564102564,0.4761904761904762,100.0,17.647058823529413,100.0,0.6578947368421052,100.0,12.5,3.0303030303030303,14.285714285714285,13.333333333333334,11.25,50.0,5.263157894736842,15.853658536585366,8.695652173913043,33.33333333333333,100.0,100.0,17.741935483870968,0.7407407407407408,100.0,100.0,100.0,0.0,51.81268169946755
1,10,50.0,1.0416666666666665,5.472636815920398,66.66666666666666,9.375,9.090909090909092,2.479338842975207,33.33333333333333,60.0,33.33333333333333,2.564102564102564,6.8181818181818175,18.26086956521739,4.060913705583756,100.0,40.0,100.0,0.0,0.0,19.444444444444446,0.0,0.0,1.2422360248447204,50.0,85.71428571428571,46.15384615384615,60.0,100.0,100.0,0.0,25.0,37.5,100.0,78.57142857142857,0.0,100.0,6.9364161849710975,10.909090909090908,66.66666666666666,100.0,25.949367088607595,0.0,100.0,13.750000000000002,0.0,0.0,55.55555555555556,23.18840579710145,11.76470588235294,43.58974358974359,22.22222222222222,30.434782608695656,62.5,16.25,100.0,2.5,0.4761904761904762,25.0,17.647058823529413,13.636363636363635,0.0,22.727272727272727,7.766990291262135,0.0,0.0,10.227272727272728,11.25,25.0,2.684563758389262,15.853658536585366,8.695652173913043,3.7037037037037033,100.0,100.0,0.0,0.7407407407407408,100.0,75.0,66.66666666666666,0.0,33.06770355098297
2,20,50.0,0.0,5.472636815920398,66.66666666666666,6.944444444444445,8.955223880597014,2.479338842975207,23.076923076923077,38.88888888888889,32.142857142857146,2.564102564102564,0.0,0.0,0.0,91.66666666666666,19.298245614035086,37.5,0.0,0.0,11.458333333333332,0.0,0.0,0.0,0.0,61.904761904761905,46.15384615384615,60.0,33.33333333333333,0.0,0.0,15.121951219512194,18.181818181818183,0.0,51.28205128205128,0.0,0.0,6.532663316582915,9.876543209876543,18.181818181818183,0.0,23.78640776699029,0.0,66.66666666666666,11.504424778761061,0.0,0.0,55.55555555555556,18.83116883116883,0.0,34.523809523809526,0.0,19.642857142857142,50.0,16.25,10.256410256410255,0.0,0.4761904761904762,7.792207792207792,12.903225806451612,10.344827586206897,0.0,21.59090909090909,0.0,0.0,0.0,8.176100628930817,11.25,15.384615384615385,0.0,15.853658536585366,8.695652173913043,3.7037037037037033,26.923076923076923,76.92307692307693,0.0,0.7407407407407408,0.0,75.0,0.0,0.0,16.50573001262299
3,30,0.0,0.0,5.138339920948617,33.33333333333333,0.0,4.66321243523316,0.0,16.0,38.095238095238095,32.142857142857146,2.18978102189781,0.0,0.0,0.0,91.66666666666666,7.567567567567568,21.62162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.64864864864865,46.15384615384615,16.129032258064516,21.428571428571427,0.0,0.0,13.968253968253968,2.0325203252032518,0.0,0.0,0.0,0.0,6.148867313915858,9.01639344262295,8.396946564885496,0.0,20.51282051282051,0.0,62.5,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,0.0,12.345679012345679,38.666666666666664,0.0,0.0,0.0,0.4761904761904762,7.792207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.803921568627452,15.384615384615385,0.0,15.238095238095239,0.0,0.0,26.923076923076923,76.92307692307693,0.0,0.0,0.0,57.14285714285714,0.0,0.0,10.267302986041125
4,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789473684210526,0.0,32.142857142857146,2.18978102189781,0.0,0.0,0.0,91.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,15.238095238095239,2.0066889632107023,10.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.85611510791367,0.0,62.5,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,11.864406779661017,35.18518518518518,0.0,0.0,0.0,0.0,7.792207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.583333333333334,0.0,0.0,0.0,0.0,26.923076923076923,66.66666666666666,0.0,0.0,0.0,50.0,0.0,0.0,6.789431931312282
5,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.789473684210526,0.0,0.0,0.0,0.0,0.0,0.0,91.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2455516014234875,10.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.85611510791367,0.0,54.54545454545454,0.0,0.0,0.0,33.734939759036145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96551724137931,31.25,0.0,0.0,0.0,0.0,0.0,0.0,3.468379815909387
6,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96551724137931,30.909090909090907,0.0,0.0,0.0,0.0,0.0,0.0,0.6234326018808777
7,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
